Modelo,Tipo,F1-Score,Accuracy,ROC-AUC,Tiempo,N_Estimators,Usar_Escalado,CV_F1
GradientBoosting_Ensemble,GradientBoostingClassifier,0.6836237448316598,0.6807004470938898,0.7476711363177531,58.499411821365356,100,False,0.680323177769032
Voting_Trees,VotingClassifier,0.6804047838086477,0.6764157973174366,0.7431791157492837,21.04430389404297,4,False,0.6783134248711536
RandomForest_Ensemble,RandomForestClassifier,0.6682653287095108,0.6649776453055142,0.7285942171356596,3.908184766769409,100,False,0.6678729887811146
Voting_Soft,VotingClassifier,0.6673733160090268,0.6375558867362145,0.7052152392418054,20.292827606201172,4,True,0.6572221684500625
AdaBoost_Ensemble,AdaBoostClassifier,0.6659173313995649,0.6567064083457526,0.7186530318514679,63.09611630439758,100,False,0.6641930810134691
ExtraTrees_Bootstrap,ExtraTreesClassifier,0.6625909752547308,0.6545454545454545,0.7092760809583137,4.296705007553101,100,False,0.6607261905276394
Voting_Linear,VotingClassifier,0.6597125479936122,0.6268628912071535,0.6823903936312401,2.8398101329803467,3,True,0.6472419961699212
ExtraTrees_Basic,ExtraTreesClassifier,0.6581623486291279,0.6455663189269747,0.6972197321347781,2.353642225265503,100,False,0.6561116867987831
Bagging_LR,BaggingClassifier,0.6567217444059812,0.6416169895678092,0.6925888381466969,14.103384971618652,30,True,0.650996136188341
ExtraTrees_More,ExtraTreesClassifier,0.6560255954496979,0.6394932935916543,0.6884382499273015,3.3997955322265625,200,False,0.6526990359847387
Bagging_SVM,BaggingClassifier,0.6560171153503298,0.6405737704918033,0.6495481107158114,18.43034076690674,15,True,0.6508409794489073
Bagging_KNN,BaggingClassifier,0.6540599853694221,0.6476154992548435,0.7132605734116392,3.734687566757202,20,True,0.6562521169475788
Bagging_DT,BaggingClassifier,0.6517593388924204,0.6530178837555887,0.7109317569614692,17.632218599319458,50,False,0.6535408638632585
Voting_Hard,VotingClassifier,0.650345928685471,0.6573025335320417,0.0,18.00761103630066,4,True,0.6430824363223143
