Modelo,Tipo,F1-Score,Accuracy,ROC-AUC,Tiempo,Features_Activos,Max_Coef,CV_F1
LogReg_HighReg,LogisticRegression,0.6570155107862364,0.6416169895678092,0.6926149769337429,2.8391780853271484,57,0.5227360619450809,0.6509426708477233
LogReg_L1,LogisticRegression,0.6570144782825761,0.6416542473919523,0.6926686103462787,39.30775570869446,57,0.7002133031089948,0.6506422147367041
SGD_Adaptive,SGDClassifier,0.6568760248092964,0.6413561847988077,0.6925857986236285,1.4830207824707031,57,0.4592523407676032,0.6508038334278083
LogReg_LBFGS,LogisticRegression,0.6568718351044861,0.64150521609538,0.6926735391524246,1.427896499633789,57,0.7265499586131682,0.6505964507560232
LogReg_LowReg,LogisticRegression,0.6568228832299022,0.64150521609538,0.6927042455591457,2.9418141841888428,57,0.8245119372441253,0.6505881665972968
LogReg_Basic,LogisticRegression,0.6567047075606277,0.6413561847988077,0.6926966884268364,3.052102565765381,57,0.7829075204384366,0.6506971722635568
LogReg_Elastic,LogisticRegression,0.6565418894830659,0.6410581222056632,0.6924756645336512,102.91030430793762,57,0.3542192011395985,0.6505720249407803
Ridge_CV,RidgeClassifierCV,0.6558147818343723,0.6399776453055142,0.6914950821628094,1.658947467803955,57,0.16176533086149186,0.6503082374258627
Ridge_LowReg,RidgeClassifier,0.6554981286758154,0.6399031296572281,0.6916370617860691,0.1266918182373047,57,0.3717992944067973,0.6502186011816877
Ridge_HighReg,RidgeClassifier,0.6554747647562019,0.639865871833085,0.691618491244762,0.1347513198852539,57,0.32819077995704815,0.6502294570869711
Ridge_Basic,RidgeClassifier,0.6554747647562019,0.639865871833085,0.6916336499631001,0.4967637062072754,57,0.36734729259315657,0.6503032996428029
SGD_Elastic,SGDClassifier,0.6501600853788687,0.6336065573770492,0.6828525122719494,1.723489761352539,47,0.48020119873940764,0.6389558576441317
SGD_L1,SGDClassifier,0.6493137045729322,0.6325633383010432,0.6823076541458839,1.694603681564331,46,0.30535497536423306,0.6382733192735159
SGD_Log,SGDClassifier,0.646909701146142,0.6315573770491804,0.6799044027208254,1.1078553199768066,57,0.519434301300698,0.6344950801768008
SGD_Hinge,SGDClassifier,0.6426972679148755,0.6252980625931446,0.6747386193532692,1.5907118320465088,57,0.6134280111813524,0.6376677980843971
Perceptron_Basic,Perceptron,0.6069668765398303,0.5720566318926975,0.5976062511131489,0.3764050006866455,57,51.25512553783428,0.5679780413431745
Perceptron_L2,Perceptron,0.5872019164458641,0.5762667660208644,0.6051263701442063,0.3237495422363281,57,26.143760544815102,0.5788023125351841
Perceptron_L1,Perceptron,0.576763632498317,0.5549552906110283,0.5783358887924417,0.672205924987793,13,16.9419735764048,0.5478025778938221
PA_HighReg,PassiveAggressiveClassifier,0.5711758201253225,0.5665424739195231,0.594255571456898,0.2989354133605957,57,0.9608428657358035,0.5691507552617262
PA_Type2,PassiveAggressiveClassifier,0.5657841589248338,0.5594262295081968,0.5860745256382494,0.33216261863708496,57,0.9585581117682157,0.571378205524819
PA_Basic,PassiveAggressiveClassifier,0.5640233814933274,0.5581594634873324,0.5851517053191387,0.4130737781524658,57,0.9798978077119843,0.5711032527048909
