Modelo,Tipo,F1-Score,Accuracy,ROC-AUC,Tiempo,Usar_Escalado,CV_F1
NB_Gaussian_Smooth,GaussianNB,0.6822614135148632,0.5495901639344263,0.6527655681315375,0.16653752326965332,False,0.681893609303072
QDA,QuadraticDiscriminantAnalysis,0.6821773970710141,0.5714605067064084,0.6729237906993528,1.0733528137207031,True,0.67608698209467
NB_Gaussian,GaussianNB,0.6821109607577808,0.5623695976154992,0.6574108901299429,0.16351842880249023,False,0.6792891453249421
KNN_15,KNeighborsClassifier,0.6665448298548924,0.660096870342772,0.7307670427058659,0.06415486335754395,True,0.6671614403473711
KNN_Manhattan,KNeighborsClassifier,0.6660832148196769,0.6588301043219076,0.7238221270211245,0.1045231819152832,True,0.6622372389767779
KNN_7_Dist,KNeighborsClassifier,0.6595379730666764,0.6524217585692995,0.7174869830062989,194.0247893333435,True,0.6578971750136602
LDA,LinearDiscriminantAnalysis,0.6546801011143946,0.6386363636363637,0.6901219512222228,0.8806962966918945,True,0.6504249513311368
KNN_5,KNeighborsClassifier,0.6536524848573305,0.6463487332339791,0.7005546001586864,0.08580946922302246,True,0.6529998904118276
LDA_Shrink,LinearDiscriminantAnalysis,0.6536096399246436,0.6369225037257824,0.6884019645787873,0.4253816604614258,True,0.6493044761653458
NB_Multinomial,MultinomialNB,0.6493576196705914,0.6105439642324888,0.6600849841759207,0.0287017822265625,True,0.0
KNN_3,KNeighborsClassifier,0.64812865284786,0.638859910581222,0.6872529748484634,0.09217643737792969,True,0.6464479071337347
DT_Basic,DecisionTreeClassifier,0.6370446912942392,0.6335692995529061,0.6842819105079503,2.756725788116455,False,0.636680184955703
GP,GaussianProcessClassifier,0.6346371985802627,0.6279806259314457,0.6761076994486694,31.835705041885376,True,0.0
KNN_10,KNeighborsClassifier,0.6339566310496543,0.6528315946348733,0.7193478295949349,0.16779613494873047,True,0.6326863490194776
DT_Entropy,DecisionTreeClassifier,0.6309437971993472,0.6376676602086438,0.6861073941627509,3.8120627403259277,False,0.6302884812776814
DT_Balanced,DecisionTreeClassifier,0.6289851860061325,0.6258196721311475,0.6761451378155321,4.144804239273071,False,0.6281232548873057
NB_Complement,ComplementNB,0.6239883339409406,0.6157228017883756,0.6600849841759207,0.02092599868774414,True,0.0
NB_Bernoulli,BernoulliNB,0.6166557947379865,0.6058867362146051,0.64735074669246,0.1294116973876953,False,0.6124308024241671
DT_Deep,DecisionTreeClassifier,0.6162007902824528,0.6091654247391952,0.6449215704138804,4.723884582519531,False,0.6124277448013525
ExtraTree,ExtraTreeClassifier,0.6093118133342876,0.5932563338301043,0.6307136976868352,0.16745471954345703,False,0.5920116688757575
